name,height_cm,weight_kg,bra,bust_in,waist_in,hips_in
Desiree Devine,183,132,44H,55,44,62
Desiree Lopez,149,50,34D,38,27,34
Desiree Night,172,57,32DDD,38,25,37
Desiree Vega,172,64,36G,45,28,42
Destiny Dixon,176,57,34D,38,24,36
Destiny Jaymes,171,57,34B,36,26,34
Destiny Porter,172,57,34F,41,28,38
Desyra Noir,172,65,30DD,35,24,36
Devon,160,43,34D,38,24,34
Devon Green,162,58,32B,34,22,32
Devon Lee,160,56,36DD,41,28,38
Devon Michaels,157,52,38DD,43,24,34
Devyn Cole,157,50,36DD,41,24,35
Devyn Heart,163,55,34A,35,26,34
Diamond Banks,172,57,34B,36,26,34
Diamond Foxxx,162,47,32G,41,24,36
Diamond Jackson,170,54,34DDD,40,24,34
Diamond Kitty,160,51,34DD,39,24,36
Diamond Monroe,162,67,36C,39,26,50
Diana Dali,168,56,32B,34,24,34
Diana Doll,168,50,34B,36,24,35
Diana Eisley,158,61,32J,45,26,38
Diana Gold,167,53,34C,37,25,35
Diana Grace,165,57,34B,36,25,30
Diana Lins,169,53,36C,39,28,40
Diana Prince,175,57,34C,37,24,35
Dillion Carter,168,55,34DD,39,24,36
Dillion Harper,166,50,32D,36,24,36
Dirty Tina,167,56,34E,40,26,36
Dixie Belle,165,59,36C,39,25,35
Dixie Brooks,157,48,34B,36,31,34
Dixie Comet,162,59,34C,37,27,34
Dixie Lynn,160,51,34C,37,26,36
Dolce Vandela,168,55,32H,43,27,34
Dollie Darko,155,49,32DD,37,23,34
Dolly Darkley,167,50,33A,34,25,35
Dolly Delight,170,55,34F,41,26,34
Dolly Diore,170,55,36B,38,27,34
Dolly Little,145,38,28A,29,22,32
Dominica Leoni,159,49,34B,36,23,30
Dominica Phoenix,165,59,34D,38,25,35
Dominno,173,53,34F,41,23,34
Donna Ambrose,169,62,34G,43,25,36
Donna Bell,170,48,38D,42,27,38
Donna Doll,177,57,38DD,43,24,34
Dora Venter,160,45,33B,35,23,33
Dorothy Black,158,51,40D,44,24,35
Dragon Lily,163,59,34C,37,24,35
Draven Star,160,57,34B,36,28,37
Dresden 333,163,59,34B,36,25,40
Dru Berrymore,170,55,34B,36,25,35
Dunia Montenegro,167,60,34B,36,26,37
Dyanna Lauren,168,52,34DD,39,22,33
